planned_order_id,item_id,item_name,item_type,quantity,suggested_due_date,planning_date,plant_id,supplier_id,reschedule_out_days
PO-CAR-000018,CAR003,Model Its Hatchback,Make,28,23-08-2025,16-08-2025,PLANT01,,0
PO-CAR-000019,CAR001,Model Peace EV,Make,38,30-08-2025,16-08-2025,PLANT02,,0
PO-COMP-000020,COMP0018,Battery Pack Positive,Buy,10,31-07-2025,16-08-2025,PLANT02,SUP004,0
PO-COMP-000021,COMP0021,Infotainment System Concern,Buy,152,04-08-2025,16-08-2025,PLANT02,SUP010,0
PO-COMP-000022,COMP0012,Door Panel Appear,Buy,142,23-06-2025,16-08-2025,PLANT02,SUP003,0
PO-COMP-000023,COMP0030,Door Panel Focus,Buy,114,29-07-2025,16-08-2025,PLANT02,SUP001,0
PO-COMP-000024,COMP0027,Tire Energy,Buy,16,29-07-2025,16-08-2025,PLANT02,SUP004,0
PO-CAR-000025,CAR003,Model Its Hatchback,Make,10,30-08-2025,16-08-2025,PLANT02,,0
PO-COMP-000026,COMP0030,Door Panel Focus,Buy,30,01-07-2025,16-08-2025,PLANT02,SUP002,0
PO-CAR-000027,CAR002,Model Us Sedan,Make,22,06-09-2025,16-08-2025,PLANT01,,0
PO-COMP-000028,COMP0018,Battery Pack Positive,Buy,66,11-07-2025,16-08-2025,PLANT01,SUP005,0
PO-COMP-000029,COMP0012,Door Panel Appear,Buy,27,30-07-2025,16-08-2025,PLANT01,SUP004,0
PO-CAR-000030,CAR001,Model Peace EV,Make,16,30-08-2025,16-08-2025,PLANT02,,0
PO-COMP-000031,COMP0021,Infotainment System Concern,Buy,64,30-07-2025,16-08-2025,PLANT02,SUP007,0
PO-COMP-000032,COMP0012,Door Panel Appear,Buy,54,30-06-2025,16-08-2025,PLANT02,SUP003,0
PO-COMP-000033,COMP0030,Door Panel Focus,Buy,48,29-07-2025,16-08-2025,PLANT02,SUP007,0
PO-CAR-000034,CAR002,Model Us Sedan,Make,20,30-08-2025,16-08-2025,PLANT01,,0
PO-COMP-000035,COMP0018,Battery Pack Positive,Buy,60,31-07-2025,16-08-2025,PLANT01,SUP006,0
PO-COMP-000036,COMP0012,Door Panel Appear,Buy,23,09-07-2025,16-08-2025,PLANT01,SUP005,0
PO-CAR-000037,CAR005,Model Charge EV,Make,26,06-09-2025,16-08-2025,PLANT02,,0
PO-COMP-000038,COMP0008,Tire With,Buy,8,04-08-2025,16-08-2025,PLANT02,SUP010,0
PO-CAR-000039,CAR004,Model On EV,Make,19,23-08-2025,16-08-2025,PLANT01,,0
PO-COMP-000040,COMP0021,Infotainment System Concern,Buy,27,24-07-2025,16-08-2025,PLANT01,SUP001,0
PO-COMP-000041,COMP0018,Battery Pack Positive,Buy,76,24-06-2025,16-08-2025,PLANT01,SUP002,0
PO-COMP-000042,COMP0027,Tire Energy,Buy,76,14-07-2025,16-08-2025,PLANT01,SUP004,0
PO-COMP-000043,COMP0012,Door Panel Appear,Buy,40,23-06-2025,16-08-2025,PLANT01,SUP002,0
PO-CAR-000044,CAR001,Model Peace EV,Make,23,06-09-2025,16-08-2025,PLANT01,,0
PO-COMP-000045,COMP0018,Battery Pack Positive,Buy,23,31-07-2025,16-08-2025,PLANT01,SUP008,0
PO-COMP-000046,COMP0021,Infotainment System Concern,Buy,81,05-08-2025,16-08-2025,PLANT01,SUP007,0
PO-COMP-000047,COMP0012,Door Panel Appear,Buy,75,28-07-2025,16-08-2025,PLANT01,SUP004,0
PO-COMP-000048,COMP0027,Tire Energy,Buy,92,12-08-2025,16-08-2025,PLANT01,SUP006,0
PO-CAR-000049,CAR005,Model Charge EV,Make,19,13-09-2025,16-08-2025,PLANT02,,0
PO-CAR-000050,CAR005,Model Charge EV,Make,31,13-09-2025,16-08-2025,PLANT01,,0
PO-COMP-000051,COMP0004,Seat Assembly Cell,Buy,1,12-07-2025,16-08-2025,PLANT01,SUP002,0
PO-CAR-000052,CAR001,Model Peace EV,Make,38,23-08-2025,16-08-2025,PLANT01,,0
PO-COMP-000053,COMP0018,Battery Pack Positive,Buy,38,22-07-2025,16-08-2025,PLANT01,SUP004,0
PO-COMP-000054,COMP0021,Infotainment System Concern,Buy,141,25-07-2025,16-08-2025,PLANT01,SUP006,0
PO-COMP-000055,COMP0012,Door Panel Appear,Buy,135,17-07-2025,16-08-2025,PLANT01,SUP008,0
PO-COMP-000056,COMP0030,Door Panel Focus,Buy,4,24-06-2025,16-08-2025,PLANT01,SUP002,0
PO-COMP-000057,COMP0005,Chassis Frame Page,Buy,5,18-07-2025,16-08-2025,PLANT01,SUP008,0
PO-COMP-000058,COMP0027,Tire Energy,Buy,152,22-07-2025,16-08-2025,PLANT01,SUP001,0
PO-CAR-000059,CAR003,Model Its Hatchback,Make,43,13-09-2025,16-08-2025,PLANT02,,0
PO-COMP-000060,COMP0008,Tire With,Buy,76,05-08-2025,16-08-2025,PLANT02,SUP004,0
PO-COMP-000061,COMP0030,Door Panel Focus,Buy,129,25-07-2025,16-08-2025,PLANT02,SUP005,0
PO-CAR-000062,CAR004,Model On EV,Make,20,23-08-2025,16-08-2025,PLANT01,,0
PO-COMP-000063,COMP0021,Infotainment System Concern,Buy,29,23-07-2025,16-08-2025,PLANT01,SUP001,0
PO-COMP-000064,COMP0018,Battery Pack Positive,Buy,80,19-06-2025,16-08-2025,PLANT01,SUP002,0
PO-COMP-000065,COMP0027,Tire Energy,Buy,80,18-07-2025,16-08-2025,PLANT01,SUP004,0
PO-COMP-000066,COMP0012,Door Panel Appear,Buy,43,19-07-2025,16-08-2025,PLANT01,SUP010,0
PO-CAR-000067,CAR003,Model Its Hatchback,Make,37,07-09-2025,17-08-2025,PLANT02,,0
PO-COMP-000068,COMP0008,Tire With,Buy,52,05-08-2025,17-08-2025,PLANT02,SUP001,0
PO-COMP-000069,COMP0030,Door Panel Focus,Buy,111,31-07-2025,17-08-2025,PLANT02,SUP008,0
PO-CAR-000070,CAR003,Model Its Hatchback,Make,39,07-09-2025,17-08-2025,PLANT01,,0
PO-COMP-000071,COMP0019,Transmission Nor,Buy,9,29-07-2025,17-08-2025,PLANT01,SUP004,0
PO-COMP-000072,COMP0030,Door Panel Focus,Buy,7,09-07-2025,17-08-2025,PLANT01,SUP002,0
PO-CAR-000073,CAR001,Model Peace EV,Make,19,31-08-2025,17-08-2025,PLANT02,,0
PO-COMP-000074,COMP0021,Infotainment System Concern,Buy,76,30-07-2025,17-08-2025,PLANT02,SUP007,0
PO-COMP-000075,COMP0012,Door Panel Appear,Buy,66,22-07-2025,17-08-2025,PLANT02,SUP004,0
PO-COMP-000076,COMP0030,Door Panel Focus,Buy,57,05-07-2025,17-08-2025,PLANT02,SUP002,0
PO-CAR-000077,CAR004,Model On EV,Make,18,24-08-2025,17-08-2025,PLANT02,,0
PO-COMP-000078,COMP0021,Infotainment System Concern,Buy,36,20-07-2025,17-08-2025,PLANT02,SUP004,0
PO-COMP-000079,COMP0018,Battery Pack Positive,Buy,44,24-07-2025,17-08-2025,PLANT02,SUP006,0
PO-COMP-000080,COMP0012,Door Panel Appear,Buy,44,20-07-2025,17-08-2025,PLANT02,SUP004,0
PO-COMP-000081,COMP0010,Door Panel Left,Buy,36,20-07-2025,17-08-2025,PLANT02,SUP004,0
PO-CAR-000082,CAR005,Model Charge EV,Make,24,31-08-2025,17-08-2025,PLANT01,,0
PO-CAR-000083,CAR002,Model Us Sedan,Make,20,07-09-2025,17-08-2025,PLANT02,,0
PO-COMP-000084,COMP0030,Door Panel Focus,Buy,40,05-08-2025,17-08-2025,PLANT02,SUP009,0
PO-COMP-000085,COMP0020,Brake System Police,Buy,27,09-08-2025,17-08-2025,PLANT02,SUP007,0
PO-COMP-000086,COMP0018,Battery Pack Positive,Buy,32,20-07-2025,17-08-2025,PLANT02,SUP005,0
PO-COMP-000087,COMP0012,Door Panel Appear,Buy,30,11-07-2025,17-08-2025,PLANT02,SUP003,0
PO-CAR-000088,CAR005,Model Charge EV,Make,34,14-09-2025,17-08-2025,PLANT01,,0
PO-COMP-000089,COMP0004,Seat Assembly Cell,Buy,7,10-08-2025,17-08-2025,PLANT01,SUP010,0
PO-CAR-000090,CAR005,Model Charge EV,Make,19,24-08-2025,17-08-2025,PLANT02,,0
PO-CAR-000091,CAR003,Model Its Hatchback,Make,29,07-09-2025,17-08-2025,PLANT02,,0
PO-COMP-000092,COMP0008,Tire With,Buy,20,08-07-2025,17-08-2025,PLANT02,SUP002,0
PO-COMP-000093,COMP0030,Door Panel Focus,Buy,87,09-08-2025,17-08-2025,PLANT02,SUP001,0
PO-CAR-000094,CAR004,Model On EV,Make,50,31-08-2025,17-08-2025,PLANT02,,0
PO-COMP-000095,COMP0021,Infotainment System Concern,Buy,100,05-07-2025,17-08-2025,PLANT02,SUP005,0
PO-COMP-000096,COMP0018,Battery Pack Positive,Buy,172,29-06-2025,17-08-2025,PLANT02,SUP003,0
PO-COMP-000097,COMP0027,Tire Energy,Buy,64,10-07-2025,17-08-2025,PLANT02,SUP005,0
PO-COMP-000098,COMP0012,Door Panel Appear,Buy,140,24-07-2025,17-08-2025,PLANT02,SUP008,0
PO-COMP-000099,COMP0010,Door Panel Left,Buy,100,10-08-2025,17-08-2025,PLANT02,SUP006,0
PO-COMP-000100,COMP0028,Headlight Represent,Buy,28,28-07-2025,17-08-2025,PLANT02,SUP004,0
PO-CAR-000101,CAR005,Model Charge EV,Make,24,25-08-2025,18-08-2025,PLANT02,,0
PO-CAR-000102,CAR005,Model Charge EV,Make,35,08-09-2025,18-08-2025,PLANT01,,0
PO-COMP-000103,COMP0004,Seat Assembly Cell,Buy,9,10-08-2025,18-08-2025,PLANT01,SUP010,0
PO-CAR-000104,CAR002,Model Us Sedan,Make,17,25-08-2025,18-08-2025,PLANT01,,0
PO-COMP-000105,COMP0018,Battery Pack Positive,Buy,51,01-07-2025,18-08-2025,PLANT01,SUP002,0
PO-COMP-000106,COMP0012,Door Panel Appear,Buy,17,24-06-2025,18-08-2025,PLANT01,SUP003,0
PO-CAR-000107,CAR005,Model Charge EV,Make,47,15-09-2025,18-08-2025,PLANT02,,0
PO-COMP-000108,COMP0008,Tire With,Buy,92,07-08-2025,18-08-2025,PLANT02,SUP008,0
PO-CAR-000109,CAR005,Model Charge EV,Make,22,25-08-2025,18-08-2025,PLANT02,,0
PO-CAR-000110,CAR005,Model Charge EV,Make,27,15-09-2025,18-08-2025,PLANT02,,0
PO-COMP-000111,COMP0008,Tire With,Buy,12,14-08-2025,18-08-2025,PLANT02,SUP001,0
PO-CAR-000112,CAR005,Model Charge EV,Make,12,15-09-2025,18-08-2025,PLANT01,,0
PO-CAR-000113,CAR004,Model On EV,Make,44,09-09-2025,19-08-2025,PLANT01,,0
PO-COMP-000114,COMP0021,Infotainment System Concern,Buy,77,04-08-2025,19-08-2025,PLANT01,SUP004,0
PO-COMP-000115,COMP0018,Battery Pack Positive,Buy,176,19-08-2025,19-08-2025,PLANT01,SUP006,0
PO-COMP-000116,COMP0027,Tire Energy,Buy,176,08-07-2025,19-08-2025,PLANT01,SUP002,0
PO-COMP-000117,COMP0012,Door Panel Appear,Buy,115,08-07-2025,19-08-2025,PLANT01,SUP002,0
PO-COMP-000118,COMP0019,Transmission Nor,Buy,29,06-08-2025,19-08-2025,PLANT01,SUP001,0
PO-COMP-000119,COMP0005,Chassis Frame Page,Buy,29,02-08-2025,19-08-2025,PLANT01,SUP007,0
PO-CAR-000120,CAR005,Model Charge EV,Make,29,02-09-2025,19-08-2025,PLANT02,,0
PO-COMP-000121,COMP0008,Tire With,Buy,20,26-07-2025,19-08-2025,PLANT02,SUP009,0
PO-CAR-000122,CAR002,Model Us Sedan,Make,17,16-09-2025,19-08-2025,PLANT02,,0
PO-COMP-000123,COMP0030,Door Panel Focus,Buy,34,13-08-2025,19-08-2025,PLANT02,SUP010,0
PO-COMP-000124,COMP0020,Brake System Police,Buy,18,21-08-2025,19-08-2025,PLANT02,SUP010,0
PO-COMP-000125,COMP0018,Battery Pack Positive,Buy,23,21-08-2025,19-08-2025,PLANT02,SUP010,0
PO-COMP-000126,COMP0012,Door Panel Appear,Buy,24,16-08-2025,19-08-2025,PLANT02,SUP009,0
PO-CAR-000127,CAR002,Model Us Sedan,Make,33,02-09-2025,19-08-2025,PLANT02,,0
PO-COMP-000128,COMP0030,Door Panel Focus,Buy,66,04-08-2025,19-08-2025,PLANT02,SUP006,0
PO-COMP-000129,COMP0020,Brake System Police,Buy,66,30-07-2025,19-08-2025,PLANT02,SUP004,0
PO-COMP-000130,COMP0018,Battery Pack Positive,Buy,71,31-07-2025,19-08-2025,PLANT02,SUP007,0
PO-COMP-000131,COMP0012,Door Panel Appear,Buy,56,01-07-2025,19-08-2025,PLANT02,SUP002,0
PO-CAR-000132,CAR004,Model On EV,Make,40,02-09-2025,19-08-2025,PLANT02,,0
PO-COMP-000133,COMP0021,Infotainment System Concern,Buy,80,07-07-2025,19-08-2025,PLANT02,SUP005,0
PO-COMP-000134,COMP0018,Battery Pack Positive,Buy,132,16-07-2025,19-08-2025,PLANT02,SUP005,12
PO-COMP-000135,COMP0027,Tire Energy,Buy,24,09-07-2025,19-08-2025,PLANT02,SUP002,0
PO-COMP-000136,COMP0012,Door Panel Appear,Buy,110,01-07-2025,19-08-2025,PLANT02,SUP002,0
PO-COMP-000137,COMP0010,Door Panel Left,Buy,80,30-07-2025,19-08-2025,PLANT02,SUP001,0
PO-COMP-000138,COMP0028,Headlight Represent,Buy,8,02-08-2025,19-08-2025,PLANT02,SUP004,0
PO-CAR-000139,CAR002,Model Us Sedan,Make,25,26-08-2025,19-08-2025,PLANT01,,0
PO-COMP-000140,COMP0018,Battery Pack Positive,Buy,75,18-07-2025,19-08-2025,PLANT01,SUP009,0
PO-COMP-000141,COMP0012,Door Panel Appear,Buy,33,29-07-2025,19-08-2025,PLANT01,SUP001,0
PO-CAR-000142,CAR005,Model Charge EV,Make,24,09-09-2025,19-08-2025,PLANT02,,0
PO-CAR-000143,CAR003,Model Its Hatchback,Make,48,09-09-2025,19-08-2025,PLANT02,,0
PO-COMP-000144,COMP0008,Tire With,Buy,96,12-08-2025,19-08-2025,PLANT02,SUP006,0
PO-COMP-000145,COMP0016,Infotainment System Require,Buy,20,06-08-2025,19-08-2025,PLANT02,SUP001,0
PO-COMP-000146,COMP0030,Door Panel Focus,Buy,144,20-07-2025,19-08-2025,PLANT02,SUP005,0
PO-CAR-000147,CAR004,Model On EV,Make,13,02-09-2025,19-08-2025,PLANT01,,0
PO-COMP-000148,COMP0021,Infotainment System Concern,Buy,15,31-07-2025,19-08-2025,PLANT01,SUP007,0
PO-COMP-000149,COMP0018,Battery Pack Positive,Buy,52,31-07-2025,19-08-2025,PLANT01,SUP004,0
PO-COMP-000150,COMP0027,Tire Energy,Buy,52,20-07-2025,19-08-2025,PLANT01,SUP008,0
PO-COMP-000151,COMP0012,Door Panel Appear,Buy,22,29-07-2025,19-08-2025,PLANT01,SUP010,0
PO-CAR-000152,CAR005,Model Charge EV,Make,38,02-09-2025,19-08-2025,PLANT02,,6
PO-COMP-000153,COMP0008,Tire With,Buy,56,30-07-2025,19-08-2025,PLANT02,SUP007,0
PO-CAR-000154,CAR001,Model Peace EV,Make,30,16-09-2025,19-08-2025,PLANT02,,0
PO-COMP-000155,COMP0018,Battery Pack Positive,Buy,2,20-07-2025,19-08-2025,PLANT02,SUP002,0
PO-COMP-000156,COMP0021,Infotainment System Concern,Buy,120,21-08-2025,19-08-2025,PLANT02,SUP010,0
PO-COMP-000157,COMP0012,Door Panel Appear,Buy,110,22-08-2025,19-08-2025,PLANT02,SUP010,16
PO-COMP-000158,COMP0030,Door Panel Focus,Buy,90,21-08-2025,19-08-2025,PLANT02,SUP006,0
PO-CAR-000159,CAR005,Model Charge EV,Make,30,02-09-2025,19-08-2025,PLANT02,,0
PO-COMP-000160,COMP0008,Tire With,Buy,24,06-07-2025,19-08-2025,PLANT02,SUP003,0
PO-CAR-000161,CAR003,Model Its Hatchback,Make,32,09-09-2025,19-08-2025,PLANT01,,0
PO-CAR-000162,CAR005,Model Charge EV,Make,12,26-08-2025,19-08-2025,PLANT01,,0
PO-CAR-000163,CAR003,Model Its Hatchback,Make,41,27-08-2025,20-08-2025,PLANT02,,0
PO-COMP-000164,COMP0008,Tire With,Buy,68,27-07-2025,20-08-2025,PLANT02,SUP006,0
PO-COMP-000165,COMP0030,Door Panel Focus,Buy,123,30-06-2025,20-08-2025,PLANT02,SUP005,0
PO-CAR-000166,CAR005,Model Charge EV,Make,33,10-09-2025,20-08-2025,PLANT01,,0
PO-COMP-000167,COMP0004,Seat Assembly Cell,Buy,5,15-08-2025,20-08-2025,PLANT01,SUP010,0
PO-CAR-000168,CAR002,Model Us Sedan,Make,22,03-09-2025,20-08-2025,PLANT02,,0
PO-COMP-000169,COMP0030,Door Panel Focus,Buy,44,09-07-2025,20-08-2025,PLANT02,SUP005,0
PO-COMP-000170,COMP0020,Brake System Police,Buy,33,07-08-2025,20-08-2025,PLANT02,SUP006,0
PO-COMP-000171,COMP0018,Battery Pack Positive,Buy,38,06-07-2025,20-08-2025,PLANT02,SUP003,14
PO-COMP-000172,COMP0012,Door Panel Appear,Buy,34,15-07-2025,20-08-2025,PLANT02,SUP005,0
PO-CAR-000173,CAR005,Model Charge EV,Make,27,17-09-2025,20-08-2025,PLANT01,,0
PO-CAR-000174,CAR005,Model Charge EV,Make,21,10-09-2025,20-08-2025,PLANT01,,0
PO-CAR-000175,CAR002,Model Us Sedan,Make,15,03-09-2025,20-08-2025,PLANT02,,0
PO-COMP-000176,COMP0030,Door Panel Focus,Buy,30,09-08-2025,20-08-2025,PLANT02,SUP006,0
PO-COMP-000177,COMP0020,Brake System Police,Buy,12,05-08-2025,20-08-2025,PLANT02,SUP010,0
PO-COMP-000178,COMP0018,Battery Pack Positive,Buy,17,30-06-2025,20-08-2025,PLANT02,SUP002,0
PO-COMP-000179,COMP0012,Door Panel Appear,Buy,20,30-07-2025,20-08-2025,PLANT02,SUP007,0
PO-CAR-000180,CAR003,Model Its Hatchback,Make,35,28-08-2025,21-08-2025,PLANT02,,0
PO-COMP-000181,COMP0008,Tire With,Buy,44,16-07-2025,21-08-2025,PLANT02,SUP008,0
PO-COMP-000182,COMP0030,Door Panel Focus,Buy,105,28-06-2025,21-08-2025,PLANT02,SUP003,0
PO-CAR-000183,CAR005,Model Charge EV,Make,46,18-09-2025,21-08-2025,PLANT02,,0
PO-COMP-000184,COMP0008,Tire With,Buy,88,31-07-2025,21-08-2025,PLANT02,SUP005,0
PO-CAR-000185,CAR004,Model On EV,Make,42,11-09-2025,21-08-2025,PLANT01,,0
PO-COMP-000186,COMP0021,Infotainment System Concern,Buy,73,08-07-2025,21-08-2025,PLANT01,SUP002,0
PO-COMP-000187,COMP0018,Battery Pack Positive,Buy,168,12-08-2025,21-08-2025,PLANT01,SUP001,0
PO-COMP-000188,COMP0027,Tire Energy,Buy,168,15-07-2025,21-08-2025,PLANT01,SUP002,0
PO-COMP-000189,COMP0012,Door Panel Appear,Buy,109,14-07-2025,21-08-2025,PLANT01,SUP002,0
PO-COMP-000190,COMP0019,Transmission Nor,Buy,21,05-08-2025,21-08-2025,PLANT01,SUP009,0
PO-COMP-000191,COMP0005,Chassis Frame Page,Buy,21,13-08-2025,21-08-2025,PLANT01,SUP006,0
PO-CAR-000192,CAR002,Model Us Sedan,Make,36,04-09-2025,21-08-2025,PLANT02,,0
PO-COMP-000193,COMP0030,Door Panel Focus,Buy,72,31-07-2025,21-08-2025,PLANT02,SUP004,0
PO-COMP-000194,COMP0020,Brake System Police,Buy,75,04-08-2025,21-08-2025,PLANT02,SUP006,0
PO-COMP-000195,COMP0018,Battery Pack Positive,Buy,80,09-08-2025,21-08-2025,PLANT02,SUP006,0
PO-COMP-000196,COMP0012,Door Panel Appear,Buy,62,05-07-2025,21-08-2025,PLANT02,SUP003,0
PO-CAR-000197,CAR005,Model Charge EV,Make,34,28-08-2025,21-08-2025,PLANT02,,0
PO-COMP-000198,COMP0008,Tire With,Buy,40,30-07-2025,21-08-2025,PLANT02,SUP010,0
PO-CAR-000199,CAR003,Model Its Hatchback,Make,26,18-09-2025,21-08-2025,PLANT01,,0
PO-CAR-000200,CAR003,Model Its Hatchback,Make,40,04-09-2025,21-08-2025,PLANT02,,0
PO-COMP-000201,COMP0008,Tire With,Buy,64,03-08-2025,21-08-2025,PLANT02,SUP010,0
PO-COMP-000202,COMP0030,Door Panel Focus,Buy,120,22-07-2025,21-08-2025,PLANT02,SUP008,0
PO-CAR-000203,CAR005,Model Charge EV,Make,47,18-09-2025,21-08-2025,PLANT02,,0
PO-COMP-000204,COMP0008,Tire With,Buy,92,18-08-2025,21-08-2025,PLANT02,SUP004,0
PO-CAR-000205,CAR004,Model On EV,Make,14,04-09-2025,21-08-2025,PLANT02,,0
PO-COMP-000206,COMP0021,Infotainment System Concern,Buy,28,09-07-2025,21-08-2025,PLANT02,SUP005,0
PO-COMP-000207,COMP0018,Battery Pack Positive,Buy,28,03-07-2025,21-08-2025,PLANT02,SUP003,0
PO-COMP-000208,COMP0012,Door Panel Appear,Buy,32,05-08-2025,21-08-2025,PLANT02,SUP007,0
PO-COMP-000209,COMP0010,Door Panel Left,Buy,28,31-07-2025,21-08-2025,PLANT02,SUP009,0
PO-CAR-000210,CAR004,Model On EV,Make,13,11-09-2025,21-08-2025,PLANT01,,0
PO-COMP-000211,COMP0021,Infotainment System Concern,Buy,15,10-08-2025,21-08-2025,PLANT01,SUP001,0
PO-COMP-000212,COMP0018,Battery Pack Positive,Buy,52,03-08-2025,21-08-2025,PLANT01,SUP009,0
PO-COMP-000213,COMP0027,Tire Energy,Buy,52,11-08-2025,21-08-2025,PLANT01,SUP009,0
PO-COMP-000214,COMP0012,Door Panel Appear,Buy,22,15-07-2025,21-08-2025,PLANT01,SUP005,0
PO-CAR-000215,CAR003,Model Its Hatchback,Make,45,19-09-2025,22-08-2025,PLANT01,,0
PO-COMP-000216,COMP0019,Transmission Nor,Buy,33,13-07-2025,22-08-2025,PLANT01,SUP003,0
PO-COMP-000217,COMP0030,Door Panel Focus,Buy,25,17-07-2025,22-08-2025,PLANT01,SUP002,0
PO-CAR-000218,CAR002,Model Us Sedan,Make,43,19-09-2025,22-08-2025,PLANT01,,0
PO-COMP-000219,COMP0018,Battery Pack Positive,Buy,129,23-07-2025,22-08-2025,PLANT01,SUP003,0
PO-COMP-000220,COMP0004,Seat Assembly Cell,Buy,25,14-08-2025,22-08-2025,PLANT01,SUP008,0
PO-COMP-000221,COMP0012,Door Panel Appear,Buy,69,24-07-2025,22-08-2025,PLANT01,SUP002,5
PO-CAR-000222,CAR005,Model Charge EV,Make,24,29-08-2025,22-08-2025,PLANT01,,0
PO-CAR-000223,CAR003,Model Its Hatchback,Make,23,12-09-2025,22-08-2025,PLANT01,,0
PO-CAR-000224,CAR005,Model Charge EV,Make,12,19-09-2025,22-08-2025,PLANT02,,0
PO-CAR-000225,CAR002,Model Us Sedan,Make,30,05-09-2025,22-08-2025,PLANT02,,0
PO-COMP-000226,COMP0030,Door Panel Focus,Buy,60,05-08-2025,22-08-2025,PLANT02,SUP007,0
PO-COMP-000227,COMP0020,Brake System Police,Buy,57,09-07-2025,22-08-2025,PLANT02,SUP003,0
PO-COMP-000228,COMP0018,Battery Pack Positive,Buy,62,24-07-2025,22-08-2025,PLANT02,SUP008,0
PO-COMP-000229,COMP0012,Door Panel Appear,Buy,50,01-08-2025,22-08-2025,PLANT02,SUP004,0
PO-CAR-000230,CAR003,Model Its Hatchback,Make,28,29-08-2025,22-08-2025,PLANT01,,0
PO-CAR-000231,CAR005,Model Charge EV,Make,19,29-08-2025,22-08-2025,PLANT02,,0
PO-CAR-000232,CAR005,Model Charge EV,Make,19,12-09-2025,22-08-2025,PLANT01,,0
PO-CAR-000233,CAR004,Model On EV,Make,19,12-09-2025,22-08-2025,PLANT02,,0
PO-COMP-000234,COMP0021,Infotainment System Concern,Buy,38,09-08-2025,22-08-2025,PLANT02,SUP001,0
PO-COMP-000235,COMP0018,Battery Pack Positive,Buy,48,06-08-2025,22-08-2025,PLANT02,SUP008,0
PO-COMP-000236,COMP0012,Door Panel Appear,Buy,47,12-08-2025,22-08-2025,PLANT02,SUP004,0
PO-COMP-000237,COMP0010,Door Panel Left,Buy,38,11-08-2025,22-08-2025,PLANT02,SUP007,0
PO-CAR-000238,CAR005,Model Charge EV,Make,46,12-09-2025,22-08-2025,PLANT02,,0
PO-COMP-000239,COMP0008,Tire With,Buy,88,11-07-2025,22-08-2025,PLANT02,SUP002,0
PO-CAR-000240,CAR001,Model Peace EV,Make,36,29-08-2025,22-08-2025,PLANT01,,0
PO-COMP-000241,COMP0018,Battery Pack Positive,Buy,36,27-07-2025,22-08-2025,PLANT01,SUP004,0
PO-COMP-000242,COMP0021,Infotainment System Concern,Buy,133,31-07-2025,22-08-2025,PLANT01,SUP010,0
PO-COMP-000243,COMP0012,Door Panel Appear,Buy,127,27-07-2025,22-08-2025,PLANT01,SUP004,20
PO-COMP-000244,COMP0027,Tire Energy,Buy,144,25-07-2025,22-08-2025,PLANT01,SUP010,0
PO-CAR-000245,CAR003,Model Its Hatchback,Make,34,29-08-2025,22-08-2025,PLANT02,,0
PO-COMP-000246,COMP0008,Tire With,Buy,40,22-07-2025,22-08-2025,PLANT02,SUP008,0
PO-COMP-000247,COMP0030,Door Panel Focus,Buy,102,08-07-2025,22-08-2025,PLANT02,SUP005,0
PO-CAR-000248,CAR003,Model Its Hatchback,Make,30,13-09-2025,23-08-2025,PLANT02,,0
PO-COMP-000249,COMP0008,Tire With,Buy,24,20-07-2025,23-08-2025,PLANT02,SUP005,0
