query_id,supplier_id,industry,archetype,price,lead_time,quality_acceptance_rate,defect_rate,on_time_delivery_rate,past_performance_score,responsiveness_score,financial_stability_score,fulfillment_rate,capacity_reliability_score,has_iso_9001,geo_risk_score,relevance
9,9_3,electronics,premium,254.45,7,1,0.001,0.956,86.7,5,2.95,0.954,2.86,0,1.56,3
9,9_4,electronics,balanced,228.89,9,0.984,0.001,0.934,86.5,4.17,4.18,0.86,3.45,1,3.14,2
9,9_5,electronics,balanced,214.16,10,0.95,0.007,0.917,89.8,4.66,3.54,0.88,3.7,1,3.79,1
9,9_6,electronics,specialist,218.97,5,0.972,0.001,0.96,92.7,3.83,3.91,0.853,4.13,1,1.11,3
9,9_7,electronics,balanced,227.8,13,0.983,0.026,0.913,83.6,3.79,4.1,0.801,1.9,1,1,3
10,10_1,materials,specialist,91.54,10,0.963,0.001,0.965,84.6,4.33,4.28,0.874,3.14,1,2.55,2
10,10_2,materials,balanced,53.62,26,0.946,0.001,0.899,86.4,4.05,5,0.791,3.31,1,2.15,1
10,10_3,materials,premium,118.3,20,1,0.001,0.936,75.4,5,4.95,0.865,2.47,1,2.12,1
10,10_4,materials,premium,110.69,10,1,0.001,0.964,89.2,4.2,4.59,0.911,1.79,1,3.19,3
10,10_5,materials,balanced,78.93,18,0.93,0.02,0.949,78.9,4.14,3.45,0.854,3.78,1,4.82,1
10,10_6,materials,premium,119.17,16,1,0.001,0.923,75,4.92,5,0.85,3.84,1,2.12,4
10,10_7,materials,balanced,65.59,24,0.99,0.027,0.884,91.6,4.32,4.24,0.839,3.2,1,2.47,3
10,10_8,materials,premium,112,11,0.992,0.001,0.956,87.4,4.82,3.41,0.803,2.86,1,3.04,3
11,11_1,chemicals,budget,66.35,23,0.9,0.07,0.885,81.4,3.54,4.46,0.875,5,1,1.13,2
11,11_2,chemicals,balanced,124.24,21,0.94,0.004,0.875,85.9,4.3,4.44,0.856,2.03,1,1.31,2
11,11_3,chemicals,specialist,117.14,13,1,0.001,0.909,83,4.47,4.71,0.921,4.21,1,3.8,0
11,11_4,chemicals,specialist,146.91,14,1,0.001,0.915,80.1,4.86,3.92,0.798,3.54,0,2.78,3
11,11_5,chemicals,balanced,124.53,21,0.961,0.001,0.93,94,4.52,4.45,0.807,3.36,1,1.46,3
12,12_1,materials,specialist,96.45,18,1,0.001,0.923,93,4.65,4.62,0.883,4.17,0,2.83,4
12,12_2,materials,premium,96.96,16,1,0.001,0.922,85.4,5,4.71,0.866,3.9,1,2.36,0
12,12_3,machinery,premium,371.97,17,1,0.001,0.967,85.1,4.56,4.72,0.844,3.42,1,2.05,4
12,12_4,materials,budget,60.35,19,0.902,0.074,0.904,82.1,4.05,3.58,0.961,2.7,0,4.04,3
12,12_5,machinery,balanced,318.37,25,0.958,0.028,0.923,92.4,3.96,4.05,0.814,1.13,0,2.98,3
12,12_6,machinery,balanced,339.53,25,0.962,0.02,0.892,86.7,3.88,3.56,0.824,3.77,1,2.82,2
12,12_7,materials,balanced,87.77,18,0.964,0.035,0.885,86.5,4.53,4.76,0.845,2.8,0,2.86,2
12,12_8,materials,balanced,73.54,24,0.939,0.028,0.881,79.9,4.37,4.19,0.885,3.1,0,1,3
12,12_9,materials,specialist,114.57,12,1,0.001,0.91,80.9,4.56,4.82,0.799,3.06,1,2.2,3
12,12_10,machinery,premium,411.37,17,0.999,0.001,0.961,85.3,4.61,4.37,0.819,3.6,0,2.02,3
13,13_1,automotive,premium,211.62,11,1,0.001,0.951,84.6,4.75,5,0.865,2.25,1,3.81,4
13,13_2,automotive,balanced,116.48,16,0.991,0.023,0.924,88.3,4.55,3.94,0.837,3.48,1,2.17,2
13,13_3,automotive,specialist,176.62,14,1,0.001,0.919,87.1,4.44,4.74,0.909,5,1,1.69,4
13,13_4,automotive,specialist,216.61,13,0.996,0.001,0.941,80.8,4.33,4.04,0.817,1,1,3.72,2
13,13_5,automotive,specialist,191.23,12,0.961,0.001,0.957,82.6,4.76,3.58,0.856,4.94,1,3.53,4
13,13_6,automotive,balanced,167.98,16,0.963,0.02,0.917,90.5,4.38,4.12,0.841,2.06,0,2.83,2
13,13_7,automotive,premium,223.36,11,1,0.001,0.943,94.2,4.73,4.23,0.849,2.7,1,1,2
13,13_8,automotive,budget,130.51,22,0.959,0.072,0.878,85.2,4.1,4.58,0.863,3.64,1,2.69,3
13,13_9,automotive,budget,100.34,14,0.927,0.059,0.887,77,3.93,3.58,0.959,2.82,1,3.98,3
14,14_1,chemicals,balanced,122.44,15,0.96,0.003,0.902,85,4.63,3.86,0.874,5,0,2.34,1
14,14_2,chemicals,budget,87.45,19,0.978,0.03,0.85,77.1,4.08,4.25,0.771,3.9,1,2.64,3
14,14_3,chemicals,premium,132.22,6,1,0.001,0.99,90.8,5,3.53,0.86,3.76,1,1.89,4
14,14_4,chemicals,budget,55.67,19,0.919,0.032,0.903,80.7,4.29,4.21,0.818,4.78,1,1.56,3
14,14_5,chemicals,premium,166.69,17,1,0.001,0.946,92.4,4.72,3.79,0.802,2.57,0,3.81,2
14,14_6,chemicals,balanced,84.24,16,0.946,0.001,0.895,84.9,4.46,4.15,0.828,2.89,0,1.4,0
14,14_7,chemicals,premium,145.06,14,1,0.001,0.948,77.6,4.96,3.38,0.859,1.82,1,3.14,3
14,14_8,chemicals,premium,139.97,9,0.981,0.001,0.911,83.6,5,5,0.789,3.5,1,2.47,3
14,14_9,chemicals,balanced,115.87,24,0.947,0.009,0.926,79.1,4.3,4.35,0.863,4.05,1,1.59,3
14,14_10,chemicals,premium,127.88,24,1,0.001,0.974,84.2,4.74,4.97,0.88,1,1,4.46,3
15,15_1,electronics,premium,267.29,7,1,0.001,0.953,89.3,4.95,4.76,0.871,2.41,1,3.69,3
15,15_2,electronics,budget,152.77,10,0.91,0.061,0.86,86.1,4,3.59,0.883,3.94,0,2.34,2
15,15_3,electronics,balanced,199.06,11,0.958,0.022,0.896,91,4.04,4.32,0.85,4,1,4.3,1
15,15_4,electronics,balanced,223.04,8,0.99,0.053,0.901,83,4.14,4.23,0.809,4.12,0,1.87,2
15,15_5,electronics,specialist,239.48,13,1,0.001,0.928,88.8,4.48,5,0.928,1.67,1,3.47,4
15,15_6,electronics,budget,165.59,14,0.915,0.09,0.85,75,3.83,3.39,0.825,2.85,1,3.74,4
15,15_7,electronics,budget,124.39,22,0.925,0.081,0.908,78.2,4.46,3.62,0.86,2.85,0,1.96,1
15,15_8,electronics,premium,280.44,6,1,0.001,0.959,83.7,4.81,4.67,0.791,4.11,1,2.62,4
15,15_9,electronics,premium,241.74,8,1,0.001,0.95,78.2,5,4.74,0.736,2.06,1,2.4,3
16,16_1,chemicals,budget,87.44,25,0.9,0.064,0.867,86.2,4.15,4.57,0.929,1.98,0,3.14,2
16,16_2,chemicals,balanced,124.45,17,0.935,0.001,0.904,86.1,4.55,3.84,0.959,1.11,1,1.08,0
16,16_3,materials,budget,62.16,27,0.9,0.063,0.89,85.1,3.81,4.24,0.94,2.81,0,3.89,2
16,16_4,chemicals,specialist,146.64,18,0.991,0.001,0.939,88.6,4.45,3.81,0.849,2.51,1,2.14,2
16,16_5,materials,premium,106.71,19,0.991,0.001,0.924,88.7,4.8,3.92,0.83,3.69,1,1,3
16,16_6,materials,premium,96.31,17,1,0.001,0.949,79.9,4.69,4.62,0.851,3.71,1,2.94,2
17,17_1,materials,premium,119.44,17,0.999,0.001,0.955,85.2,4.47,3.86,0.884,1.85,1,2.25,2
17,17_2,materials,budget,67.02,24,0.955,0.03,0.895,82.2,4.17,4.05,0.771,3.79,1,2.12,3
17,17_3,materials,balanced,90.29,20,0.963,0.02,0.943,81.9,4.13,3.6,0.872,3.78,1,3.13,3
17,17_4,materials,balanced,85.94,19,0.96,0.027,0.953,85.2,4.23,4.28,0.862,4.39,1,2.02,2
17,17_5,materials,specialist,114.39,18,1,0.001,0.886,87,4.19,3.57,0.774,4.11,1,1.81,3
17,17_6,materials,premium,131.4,13,1,0.001,0.97,82.5,4.71,4.14,0.825,1.33,1,2.53,2
18,18_1,materials,budget,66.88,22,0.9,0.051,0.856,80,4.06,4.03,0.814,3.18,0,2.42,1
18,18_2,materials,budget,83.9,26,0.931,0.06,0.876,86.4,4.5,4.36,0.807,4.7,0,1,3
18,18_3,materials,specialist,121.98,15,1,0.001,0.924,77,5,4.94,0.785,3.69,1,2.86,0
18,18_4,automotive,premium,182.57,7,1,0.001,0.986,87.3,4.38,4.5,0.921,3.68,1,1.74,2
18,18_5,materials,premium,133.83,22,1,0.001,0.93,93.6,5,4.02,0.823,3.86,1,1.81,3
18,18_6,materials,premium,118.89,13,1,0.001,0.966,85.8,4.59,4.56,0.8,1.88,0,5,2
18,18_7,automotive,balanced,152.89,16,0.975,0.023,0.922,80.7,4.35,5,0.868,2.69,1,2.67,3
18,18_8,automotive,balanced,128.99,15,0.935,0.034,0.924,93.7,4.22,4.36,0.811,2.71,0,4.93,2
19,19_1,automotive,balanced,115.57,12,0.999,0.038,0.904,87.7,3.51,4.15,0.866,3.92,1,2.75,1
19,19_2,automotive,budget,111.14,14,0.917,0.056,0.889,81.2,4.61,4.48,0.795,3.84,0,2.78,3
19,19_3,materials,balanced,86.28,22,0.941,0.002,0.927,82.7,4.29,4.18,0.892,1,1,2.69,1
19,19_4,automotive,balanced,140.76,19,0.945,0.013,0.946,83.6,4.69,4.63,0.84,5,0,3.1,3
19,19_5,automotive,specialist,175.64,18,1,0.008,0.933,82.6,4.59,4.48,0.86,3.31,1,3.28,3
19,19_6,automotive,balanced,149.98,10,0.946,0.013,0.9,85.2,4.37,3.91,0.908,2.58,1,1.84,3
19,19_7,materials,specialist,95.34,17,1,0.001,0.951,88.1,4.29,4.54,0.863,2.46,1,2.04,2
20,20_1,electronics,balanced,180.46,12,0.933,0.015,0.918,88.2,4.09,4.21,0.908,2.19,1,1.48,0
20,20_2,electronics,specialist,232.8,14,1,0.001,0.979,90.1,4.57,4.77,0.857,3.02,1,4.27,2
20,20_3,electronics,specialist,246.63,12,0.972,0.001,0.958,93,4.48,3.92,0.909,4.17,1,4.46,3
20,20_4,electronics,balanced,196.77,10,0.976,0.008,0.936,89.3,4.42,4.38,0.852,3.56,1,1.4,3
20,20_5,electronics,budget,142.06,17,0.906,0.048,0.892,83.3,3.95,4.11,0.805,4,1,2.75,4
20,20_6,electronics,balanced,187.54,11,0.971,0.02,0.904,83.6,4.22,4.03,0.847,3.48,0,1.89,2
20,20_7,electronics,premium,253.66,6,1,0.001,0.896,84.2,5,4.54,0.862,1.94,1,2.85,2
20,20_8,electronics,specialist,241.52,7,1,0.001,0.95,86.8,4.62,3.29,0.836,3.85,0,4.2,3
20,20_9,electronics,budget,139.42,18,0.912,0.022,0.903,78.7,3.89,5,0.788,3.66,1,3.98,1
20,20_10,electronics,budget,149.52,11,0.901,0.042,0.882,82.4,3.78,3.88,0.909,3.19,1,3.02,2
21,21_1,machinery,premium,379.85,19,1,0.001,0.939,83.7,5,4.39,0.817,2.27,1,1,3
21,21_2,machinery,budget,149.67,28,0.939,0.053,0.863,75,4.23,4.11,0.875,5,0,2.56,3
21,21_3,machinery,budget,227.68,25,0.941,0.057,0.919,81.9,4.1,3.78,0.888,1.88,1,2.32,0
21,21_4,machinery,premium,366.85,26,1,0.001,0.975,89.9,5,4.17,0.806,3.96,0,3.49,3
21,21_5,machinery,budget,259.39,23,0.906,0.026,0.85,86.5,3.98,4.24,0.768,3.01,1,3.71,3
21,21_6,machinery,specialist,343.93,26,1,0.001,0.955,83.7,4.61,3.96,0.759,3.27,1,3.28,3
21,21_7,machinery,specialist,348.29,21,1,0.001,0.935,89.3,4.64,4.5,0.859,2.09,1,4.02,0
21,21_8,machinery,budget,231.53,28,0.935,0.038,0.86,80.7,3.88,4.94,0.878,1.66,0,1,3
21,21_9,machinery,specialist,346.08,19,0.991,0.001,0.934,78.5,4.65,4.48,0.81,1,1,2.69,3
22,22_1,materials,premium,57.92,11,1,0.001,0.948,85.8,4.62,4.51,0.886,1,1,2.9,3
22,22_2,materials,budget,49.67,22,0.95,0.089,0.85,83.5,4.05,4.51,0.851,1.42,1,2.73,3
22,22_3,electronics,budget,150.17,20,0.933,0.078,0.853,79.4,3.94,4.15,0.847,4.22,1,3.17,2
22,22_4,materials,specialist,114.52,14,1,0.001,0.964,90.4,4.63,3.67,0.814,1.97,1,1.34,2
22,22_5,materials,specialist,98.92,16,1,0.01,0.955,83.2,4.46,4.62,0.755,4.32,0,2.32,3
22,22_6,materials,balanced,77.28,18,0.936,0.012,0.899,85.3,4.66,4.02,0.82,3.66,0,2.39,2
22,22_7,electronics,specialist,215.09,9,0.977,0.001,0.915,81.5,4.15,3.37,0.831,3.16,0,4.07,2
22,22_8,materials,balanced,91.05,20,0.947,0.009,0.913,90.9,4.44,3.8,0.92,1.86,0,3.39,4
22,22_9,materials,specialist,124.58,15,1,0.001,0.945,91.4,4.21,3.91,0.811,3.83,1,2.05,3
23,23_1,materials,balanced,107.08,22,0.986,0.016,0.903,88.5,4.62,4.31,0.836,1,1,2.08,0
23,23_2,materials,budget,32.98,32,0.934,0.019,0.879,98,3.5,4.53,0.841,3.77,0,1.5,3
23,23_3,materials,specialist,99.45,18,1,0.002,0.964,93.7,4.85,3.63,0.751,3.71,0,2.73,1
23,23_4,materials,balanced,88.97,20,0.927,0.036,0.927,87.8,4.04,4.17,0.742,3.88,1,1.11,1
23,23_5,materials,balanced,76.12,20,0.962,0.031,0.905,83,4.02,4.31,0.937,3.7,1,3.03,3
24,24_1,chemicals,premium,149.78,13,1,0.001,0.977,80.1,5,5,0.86,2.1,1,3.16,3
24,24_2,chemicals,budget,103.57,21,0.93,0.042,0.858,95.8,4.18,3.54,0.749,3.81,1,1.47,3
24,24_3,chemicals,balanced,116.43,21,0.969,0.009,0.903,75,4.44,3.66,0.792,1.31,0,2.29,2
24,24_4,chemicals,premium,193.51,9,1,0.001,0.924,92.5,4.55,4.22,0.794,2.64,1,4.67,4
24,24_5,chemicals,balanced,136.74,15,0.968,0.02,0.944,78.1,4.45,4.89,0.964,2.6,1,1.79,4
24,24_6,chemicals,premium,158.49,9,1,0.001,0.959,89.2,4.75,3.87,0.787,4.53,0,3.34,2
24,24_7,chemicals,specialist,128.5,17,0.981,0.001,0.948,91.7,4.66,4.2,0.964,3.89,0,3.6,2
25,25_1,electronics,specialist,238.47,11,0.98,0.001,0.915,84.3,4.59,3,0.731,2.66,1,2.52,0
25,25_2,electronics,balanced,202.6,18,0.969,0.001,0.916,83.9,4.27,4.11,0.853,1.94,0,2.82,1
25,25_3,electronics,premium,249.81,7,1,0.001,0.949,87.5,4.53,4.97,0.78,2.43,0,3,3
25,25_4,electronics,specialist,250.16,9,1,0.001,0.935,78.1,4.6,4.22,0.875,2.47,1,1.95,3
25,25_5,electronics,balanced,217.13,11,0.967,0.003,0.938,80.9,4,4.01,0.918,1.83,1,1,3
25,25_6,electronics,premium,270.61,6,1,0.001,0.976,79.6,5,4.56,0.884,4.47,1,2.1,3
25,25_7,electronics,premium,249.51,8,1,0.001,0.921,84.7,5,5,0.879,1,1,2.73,4
25,25_8,electronics,balanced,195.81,15,0.958,0.025,0.952,91.7,4.88,3.54,0.854,1.71,0,1.78,3
25,25_9,electronics,budget,142.26,19,0.945,0.062,0.91,83.2,3.92,4.23,0.826,2.63,1,4.55,2
26,26_1,chemicals,specialist,136.86,19,0.989,0.001,0.923,83.6,4.86,4.7,0.781,3.35,1,1.81,3
26,26_2,chemicals,specialist,144.51,11,0.99,0.001,0.915,79.2,4.49,3.89,0.835,2.55,1,2.76,2
26,26_3,chemicals,budget,109.04,22,0.937,0.067,0.868,81.4,4.11,4.16,0.91,1.74,1,3.32,1
26,26_4,chemicals,budget,109.29,23,0.94,0.056,0.865,86.1,4.03,4.9,0.807,5,1,3.03,1
26,26_5,chemicals,balanced,149.8,19,0.966,0.021,0.95,92.3,4.03,3.73,0.843,3.31,1,1.48,0
26,26_6,chemicals,specialist,144.2,16,0.945,0.001,0.928,82.2,4.03,5,0.92,2.62,0,3,3
26,26_7,chemicals,budget,98.65,19,0.93,0.062,0.857,87.6,4.1,4.08,0.8,2.82,1,1.27,3
26,26_8,chemicals,budget,98.36,22,0.951,0.049,0.85,92.5,4,4.15,0.862,1.37,1,1.52,0
27,27_1,automotive,balanced,154.13,12,0.959,0.02,0.872,78.9,3.68,4.11,0.842,2.67,0,1.58,3
27,27_2,automotive,specialist,151.37,13,1,0.001,0.923,86.1,4.97,4.28,0.818,2.11,0,1.11,3
27,27_3,automotive,balanced,123.79,15,0.978,0.019,0.877,76,4.19,4.09,0.83,1.82,1,2.9,1
27,27_4,automotive,specialist,219.53,11,0.997,0.001,0.914,79.5,4.08,4.91,0.865,1.92,1,1.53,2
27,27_5,automotive,budget,115.16,15,0.957,0.065,0.885,79.5,3.89,3.92,0.78,3.59,1,1.96,4
27,27_6,automotive,specialist,152.71,12,1,0.001,0.927,82.9,4.43,4.55,0.916,2.35,1,3.45,0
27,27_7,automotive,balanced,119.33,14,0.941,0.001,0.913,89.2,4.51,4.44,0.81,1.09,1,3.69,4
27,27_8,automotive,specialist,194.89,16,0.993,0.001,0.908,87.4,4.59,5,0.817,2.07,1,1,4
27,27_9,automotive,specialist,184.55,14,1,0.001,0.945,87.3,4.15,4.34,0.884,4.53,1,1,3
28,28_1,materials,specialist,106.53,15,1,0.001,0.937,86.8,4.14,4.12,0.866,4.84,1,1.92,0
28,28_2,materials,specialist,106.96,19,0.999,0.001,0.93,75.6,5,4.9,0.83,1.9,1,2.58,3
28,28_3,materials,budget,68.09,30,0.9,0.058,0.857,80.9,3.77,4.97,0.872,1.3,1,1,3
28,28_4,materials,specialist,55.99,18,1,0.001,0.908,88,3.69,3.94,0.826,3.63,0,4.08,0
28,28_5,materials,specialist,115.38,15,0.995,0.001,0.924,80.9,4.57,4.09,0.864,4.02,1,3.36,3
28,28_6,materials,specialist,84.12,20,1,0.001,0.946,82.9,4.71,5,0.845,3.39,1,2.74,4
28,28_7,materials,specialist,101.27,15,1,0.001,0.945,90.6,4.23,3.96,0.842,4.62,0,2.05,2
29,29_1,chemicals,specialist,133.58,13,1,0.001,0.962,85.4,4.84,4.06,0.795,4.42,1,1.59,3
29,29_2,chemicals,premium,182.84,15,1,0.001,0.99,82.5,5,4.31,0.816,1.91,1,4.06,3
29,29_3,chemicals,balanced,124.99,10,0.95,0.011,0.9,94,4.08,4.98,0.838,3,1,2.22,2
29,29_4,chemicals,balanced,132.15,10,0.996,0.008,0.896,84.8,3.64,4.81,0.838,3.32,1,1.85,4
29,29_5,chemicals,budget,87.88,17,0.91,0.063,0.852,80.2,3.95,4.25,0.85,3.31,0,2.4,3
29,29_6,chemicals,budget,92.43,21,0.9,0.039,0.886,89.7,3.49,5,0.895,2.74,1,3.6,4
29,29_7,chemicals,specialist,108.52,16,1,0.001,0.952,81.9,4.65,2.82,0.807,1.87,0,2.34,3
29,29_8,chemicals,budget,98.66,21,0.942,0.039,0.853,83.3,4.75,3.98,0.862,1.48,1,2.78,3
29,29_9,chemicals,budget,77.54,23,0.943,0.052,0.855,88.5,4.01,3.23,0.858,5,1,2.57,4
30,30_1,materials,specialist,105.41,18,0.99,0.001,0.912,78.8,3.93,3.95,0.948,3.27,0,2.37,2
30,30_2,materials,premium,73.58,14,1,0.001,0.965,89.9,4.57,4.5,0.827,3.19,1,1.68,3
30,30_3,materials,balanced,70.59,21,0.94,0.001,0.894,81.6,4.79,3.79,0.821,1.76,1,1.87,0
30,30_4,materials,premium,103.1,10,1,0.001,0.965,84.5,5,3.86,0.812,4.04,1,2.03,3
30,30_5,materials,balanced,99.19,25,0.965,0.037,0.921,89.8,4.4,5,0.752,2.92,0,1,2
30,30_6,materials,premium,114.18,16,1,0.001,0.947,95.5,4.64,4.42,0.816,3.22,1,2.9,1
30,30_7,materials,balanced,73.78,19,0.956,0.027,0.935,90.5,4.18,3.84,0.879,2.85,1,3.01,1
30,30_8,materials,specialist,109.16,13,0.997,0.001,0.952,90.4,4.24,4.42,0.844,3.85,0,3.58,3
31,31_1,electronics,budget,142.19,12,0.926,0.064,0.85,83.3,4.34,4.63,0.8,3.92,1,2.85,0
31,31_2,electronics,balanced,180.79,5,0.962,0.024,0.88,86.1,4.47,4.49,0.753,2.24,1,2.7,3
31,31_3,electronics,balanced,178.22,8,0.969,0.001,0.933,92,4.77,4.41,0.797,3.63,1,3.35,4
31,31_4,electronics,premium,286.74,13,1,0.001,0.916,90.3,4.44,4.54,0.808,3.55,0,3.36,2
31,31_5,electronics,budget,130.13,21,0.9,0.079,0.878,75.7,4.07,3.98,0.798,1.96,1,1,4
31,31_6,electronics,specialist,238.12,9,1,0.001,0.926,80.4,4.37,4.42,0.867,2.1,0,3.85,3
31,31_7,electronics,premium,302.04,13,1,0.001,0.96,91,4.47,4.8,0.841,3.14,1,2.28,3
31,31_8,electronics,premium,232.3,7,1,0.001,0.99,89.2,5,3.92,0.846,2.7,1,2.78,2
